"_id"|nombre_ws|idFuente|nombreFuente|numeroValoraciones|valoracion|valoracionMaxima
dd135ec3-b8ca-4662-8fa0-e19abb677691|Avatar|1|movistarplus|1017|4.3|5
9d4c0405-1d1d-4d5b-8ceb-530cd436fd87|Deadpool|1|movistarplus|2605|4.3|5
4aa20703-a0b4-4559-9478-564f73ca7d71|Buscando a Dory|1|movistarplus|1496|4.2|5
7ef133de-2afc-46d2-8e6b-405e72206077|Big Hero 6|1|movistarplus|295|3.4|5
122e128c-c119-46c0-9525-e61362c95773|Siempre a tu lado (Hachiko)|1|movistarplus|778|4.4|5
2ddaaf3a-21f4-4764-9bbc-141b421e68b8|Expediente Warren: The Conjuring|1|movistarplus|993|4.1|5
818dcd79-8792-4cfb-af5b-282ae15131ee|Rocky|1|movistarplus|663|4.3|5
d9037902-71d4-4ba0-9c12-7848a0a82b12|2001: Una odisea del espacio|1|movistarplus|478|4.2|5
a444c48e-ea48-4e15-85dc-4ca14166307d|La bella y la bestia|1|movistarplus|1451|4.4|5
748f74a4-df20-4034-8c92-b1dc3ff1dfc6|Taxi Driver|1|movistarplus|652|4.1|5
0cfb9726-8732-4169-b021-e5d5a4d937d7|Aliens: El regreso|1|movistarplus|55|4.3|5
ae916c85-630e-43a7-a042-326250029165|Batman v. Superman: El amanecer de la Justicia|1|movistarplus|1365|3.4|5
a76004d7-ce94-44ca-94b9-bb8a8952b19f|Los juegos del hambre: En llamas|1|movistarplus|335|3.4|5
20905a69-c2e3-4cae-86dd-e219b81076d5|Pesadilla antes de Navidad|1|movistarplus|346|4.4|5
dca4c125-3336-4887-8fa0-7c4569e4db31|La chica danesa|1|movistarplus|1300|3.9|5
2e93e58e-58bf-4c34-987e-56cc5fca647d|American History X|1|movistarplus|205|4.6|5
d7777b98-ab33-4f04-8d2d-2d00a804f05b|Los miserables|1|movistarplus|599|4.1|5
9edbe00d-e707-4dea-a07f-d4c36186fd91|La naranja mecánica|1|movistarplus|490|4.1|5
5b396f64-af6e-4b76-8f07-8cb91f5c2f0f|Shrek|1|movistarplus|65|3.4|5
988ff188-971e-4f1a-801d-5606d0fee333|Las ventajas de ser un marginado|1|movistarplus|518|4.0|5
547e77be-eb60-4bf0-8deb-3360783f8e2c|En busca de la felicidad|1|movistarplus|268|4.0|5
30d789f6-c78e-4886-be28-d65a00d662ef|Orgullo y prejuicio|1|movistarplus|501|4.3|5
1a022014-73e2-4bf9-a62e-3046c7a44f69|Malditos bastardos|1|movistarplus|552|4.3|5
3c9ab2f3-df01-4358-b135-3c4cb61582ad|Indiana Jones y el templo maldito|1|movistarplus|24|4.1|5
d7edf34d-44de-4998-bc16-c7007750adfb|E.T., el extraterrestre|1|movistarplus|568|4.3|5
30b10291-3e53-414d-baca-9c327b2a3e9c|Cómo entrenar a tu dragón|1|movistarplus|157|4.0|5
7e311d5c-b070-4f39-a264-2f5cd4fb386d|The Imitation Game (Descifrando Enigma)|1|movistarplus|2794|4.4|5
aa72dde3-54f3-475c-8172-f2061481bcff|Regreso al futuro II|1|movistarplus|313|4.0|5
fa868d9e-e95f-4558-976a-9818fd4663e0|V de Vendetta|1|movistarplus|961|4.4|5
0a08e1a7-1672-4a03-b201-8834066c927d|Si decido quedarme|1|movistarplus|571|3.8|5
3fd34760-855d-44d9-9aa2-9e8f17d84510|Zootrópolis|1|movistarplus|4227|4.6|5
3c05ecd6-7718-4784-8d26-0caa420042cf|Memento|1|movistarplus|13982|2.1|5
23d05191-70c4-4b07-b177-651fdf8be4c9|El castillo ambulante|1|movistarplus|220|4.6|5
b384a66f-0d27-4139-b5e8-73a6f0d9f9b2|Kingsman: Servicio secreto|1|movistarplus|1925|4.2|5
29155778-b1ca-4832-87e7-ed8eddc460c5|El Hobbit: La desolación de Smaug|1|movistarplus|2399|4.1|5
0b8e197d-1e75-4187-946b-5960479f549b|Harry Potter y el cáliz de fuego|1|movistarplus|490|4.2|5
d21785c0-ba48-4fa5-b30d-6cb204eb6306|Marte (The Martian)|1|movistarplus|2396|4.4|5
1a78b224-fbc2-485a-bace-6b7a1140c642|Dr. Strange (Doctor Extraño)|1|movistarplus|2433|4.0|5
12f11db1-e350-4191-8eae-9677855ce9dc|Cinema Paradiso|1|movistarplus|516|4.4|5
e9a4f3c6-be8a-4e99-8a86-589415792890|Vengadores: La era de Ultrón|1|movistarplus|2611|3.9|5
12ffd4cb-92fe-4ddc-845f-b67b0cbb46c0|300|1|movistarplus|1049|4.3|5
7c4860d7-eb51-48cd-816b-346ed404f249|Animales fantásticos y dónde encontrarlos|1|movistarplus|743|4.1|5
29938651-4487-44f3-b599-f3012aae825a|El ultimátum de Bourne|1|movistarplus|276|3.7|5
fd67aeea-e0e4-4009-a143-238cf1d3539c|Piratas del Caribe: La maldición de la Perla Negra|1|movistarplus|660|4.3|5
b9604c9a-9e76-474d-b30e-ad3e3413ae2a|El secreto de sus ojos|1|movistarplus|24|3.6|5
7e659920-07b5-4afe-9e92-d5a862b3d682|La habitación|1|movistarplus|1191|4.4|5
62dc5691-8621-45d3-bb4e-9bc0041b1620|Ice Age: La edad de hielo|1|movistarplus|217|4.1|5
e35ca5e2-785c-4bb8-a064-08dd080d2730|Capitán América: Civil War|1|movistarplus|1531|4.1|5
bf76d2b0-27a0-4f6e-9b31-449ad6c8f394|Prisioneros|1|movistarplus|1137|4.1|5
0f87d558-6611-4f90-b49f-4f71791aa1c4|El Hobbit: La batalla de los cinco ejércitos|1|movistarplus|2319|4.0|5
e2520412-e140-47d9-b46d-66010db7a976|La milla verde|1|movistarplus|244|3.8|5
a9c6429a-3685-4459-81d4-d9d8108144b2|Ghost: Más allá del amor|1|movistarplus|257|4.0|5
c2c28b3e-60f1-42a1-8fc8-71e70c5ff7e6|El Hobbit: Un viaje inesperado|1|movistarplus|1123|3.9|5
43598ac3-fa08-458f-aadb-deddca634c47|100 metros|1|movistarplus|1261|4.4|5
5e58a8ef-46e6-4a46-b56e-8c0400d19a1f|Star Trek: En la oscuridad|1|movistarplus|799|3.9|5
68893be5-1be7-4e60-94b9-eb962fe843fd|Apocalypse Now|1|movistarplus|60|3.6|5
7f4553db-2e6f-4b15-b899-37e029894389|El caso Bourne|1|movistarplus|223|3.9|5
164cb2b9-a235-4310-86a1-fa787941d418|Iron Man|1|movistarplus|376|4.2|5
282f5abb-9db4-4b47-883b-c76c48c45179|El show de Truman (Una vida en directo)|1|movistarplus|213|3.8|5
a03ca454-604e-4c90-b118-1605b62b32f9|Una mente maravillosa|1|movistarplus|212|4.0|5
06552ca3-f298-46ec-a12f-9e45c00ded12|Celda 211|1|movistarplus|750|4.3|5
8f54cc36-ebb4-44af-9950-21d3cdfd3299|Gru 2. Mi villano favorito|1|movistarplus|2422|4.1|5
