DblLatitud|DblLongitud|DblPrecio|DtmFechaConsulta|DtmFechaExtraccion|IntAdultos|IntCategoria|IntDuracion|IntIdFuente|IntIdLocalidad|IntNinos|StrAlojamiento|StrEmpresa|StrFuente|StrLocalidad|StrNombreHotel|StrTipoHabitacion|_id
40.5122|-3.6774|125.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Holiday Inn Madrid Las Tablas|Standard Room|5bfc4f56f44f319b3ffe545b
40.46914|-3.67355|191.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Ilunion Pio Xii|Standard Room|5bfc4f56f44f319b3ffe545c
40.4437|-3.6727|181.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Sercotel Togumar Hotel|Standard Room|5bfc4f56f44f319b3ffe545d
40.4471|-3.7062|279.44|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Jardin Metropolitano Hotel|Superior Double Room|5bfc4f56f44f319b3ffe545e
40.4174|-3.7086|243.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|2|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Hostal Luz|Family Triple Room, Private Bathroom|5bfc4f56f44f319b3ffe545f
40.42|-3.56|202.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|NH Villa De Coslada Hotel|Room|5bfc4f56f44f319b3ffe5460
40.427|-3.6841|295.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Hsr Don Diego|Double Standard|5bfc4f56f44f319b3ffe5461
40.4671|-3.6894|283.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Hotel Exe Plaza|Standard Room|5bfc4f56f44f319b3ffe5462
40.4504|-3.6983|201.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Gran Atlanta Hotel|Comfort Room|5bfc4f56f44f319b3ffe5463
40.4371|-3.6312|172.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|2|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Travelodge Madrid Alcala|Standard Room|5bfc4f56f44f319b3ffe5464
40.4393|-3.6317|141.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Elba Madrid Alcala|Standard Room|5bfc4f56f44f319b3ffe5465
40.4186|-3.7051|276.44|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Preciados Hotel|Standard Double Or Twin Room|5bfc4f56f44f319b3ffe5466
40.4192|-3.7032|385.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Anaco Hotel|Standard Room|5bfc4f56f44f319b3ffe5467
40.41729|-3.70645|374.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|AD|Travelrepublic|Travelrepublic|Madrid|Petit Palace Arenal Hotel|Room|5bfc4f56f44f319b3ffe5468
40.4867|-3.7043|229.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|5|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Eurostars Suites Mirasierra|Deluxe Suite|5bfc4f56f44f319b3ffe5469
40.3644|-3.6519|109.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|H2 Mercader Hotel|Standard Room|5bfc4f56f44f319b3ffe546a
40.4444|-3.6548|167.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Travelodge Torrelaguna Hotel|Standard Room|5bfc4f56f44f319b3ffe546b
40.4338|-3.6717|226.23|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|3|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Quo Eraso Hotel|Double|5bfc4f56f44f319b3ffe546c
40.4392|-3.639|223.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Petit Palace Arturo Soria|Standard Room|5bfc4f56f44f319b3ffe546d
